title	3841
general	10022
provisions	5064
laws	2746
governing	3287
the	779603
state	40907
chapter	62093
implementary	1
for	112551
indiana	18889
code	1955
citation	244
sec	196982
may	59028
cited	127
repeal	2064
prior	2102
not	54591
repealed	13935
all	21013
acts	17499
enacted	407
before	15271
regular	1830
session	813
assembly	2347
are	20998
except	8282
that	72150
this	95222
does	11037
include	5560
following	20335
incorporation	1455
and	190335
their	3421
amendments	1179
whether	4398
those	3386
were	1807
during	5277
after	19516
revised	200
statutes	1176
local	7281
appropriation	1092
statement	5903
legislative	4267
purpose	5728
finding	707
intent	1062
policy	4260
amended	25163
compiled	102
section	44447
applies	5898
parts	641
subject	10088
concerning	5772
judicial	1856
proceedings	2973
sections	1801
appropriations	946
pl-ss	2525
special	5312
transitional	125
added	65378
procedural	119
notwithstanding	2485
inclusion	207
relating	1611
process	1943
practice	2470
procedure	1943
appeals	1138
have	10537
been	10293
superseded	69
rules	8142
court	20973
only	6346
such	14492
force	899
they	1279
had	1873
enactment	128
invalid	342
statutory	503
declared	499
impliedly	17
unconstitutional	22
otherwise	5760
competent	469
jurisdiction	4268
construction	3684
operation	3477
any	55472
law	11271
replaced	146
intended	888
continuous	206
regulations	1457
january	2652
shall	69647
treated	636
adopted	5238
under	87370
corresponding	149
provision	2865
has	23727
did	548
conflict	478
existed	170
between	2379
resolve	156
dates	483
conflicting	141
considered	2988
along	308
with	44494
other	33581
appropriate	3916
aids	115
but	4605
order	12334
which	23842
appear	982
references	166
text	150
refer	222
respectively	130
numerical	35
alphabetical	36
designations	52
assigned	859
several	232
originally	314
amendment	1508
part	6598
altered	203
specific	1341
headings	22
titles	80
articles	2320
chapters	32
lawful	617
compilers	1
official	2508
publication	1232
more	10424
clearly	309
indicate	485
content	308
these	1625
descriptive	22
organizational	137
purposes	10951
affect	1155
meaning	3219
application	9552
statute	2825
precede	32
each	17721
parenthetical	1
source	811
history	770
line	882
published	1068
historical	284
reference	924
construed	868
later	3520
unless	5780
provided	16348
preservation	559
penalties	1713
offenses	357
rights	4237
liabilities	985
felonies	63
misdemeanors	32
committed	1732
effectiveness	281
prosecuted	102
remain	637
punishable	36
privileges	998
accrued	527
remedies	797
duties	5650
imposed	3557
incurred	2362
begun	190
punishments	6
forfeitures	57
enforced	385
periods	391
limitation	947
requirements	6844
notice	12871
running	80
period	5564
requirement	1487
contained	937
affected	1586
actions	2000
prosecutions	29
civil	3951
criminal	3318
causes	435
arising	837
commenced	436
severability	62
now	270
its	11798
person	32046
circumstance	135
held	3395
invalidity	80
can	1006
given	2308
effect	3957
without	5698
case	3640
containing	942
nonseverability	3
every	1732
severable	95
remainder	510
essentially	10
inseparably	1
connected	319
dependent	719
upon	11973
cannot	618
presumed	255
would	3430
incomplete	131
incapable	96
being	2462
executed	1232
accordance	4060
subsection	25331
regardless	769
passage	136
preserve	320
adoption	2185
concurrent	180
resolution	4356
journals	30
stating	645
act	5894
respect	4053
apply	6857
both	2125
district	7559
districts	1064
found	822
violation	4157
article	8206
constitution	570
effective	4205
date	11881
because	1404
emergency	3066
exists	688
takes	752
certain	1700
noncode	33
exceptions	465
described	10762
expiration	1423
expires	938
june	2534
however	4731
striking	13
preserved	99
strikes	20
listed	1425
repealing	55
repeals	60
another	5150
whichever	576
applicable	3052
transfer	4525
agency	10258
facility	5694
private	2553
control	3706
change	2542
fiscal	4798
years	7459
holding	1366
company	7130
regulated	863
financial	4930
corporation	13952
either	3121
latter	44
amending	93
former	631
reports	1887
required	14323
department	26275
transportation	2851
requiring	734
submit	2195
quarterly	336
report	6642
describing	205
projects	1208
expended	338
encumbered	61
money	8242
major	527
moves	88
program	8293
motor	3848
vehicles	1689
practices	646
bureau	3133
human	1085
services	11707
director	5844
childrens	201
home	3852
submitted	2144
division	5232
disability	1943
aging	126
rehabilitative	155
family	1991
juvenile	1479
child	9211
support	2802
needs	817
foster	410
children	1502
therapeutic	144
conveyance	597
real	6311
estate	3452
university	1870
evansville	44
trustees	2330
asbury	1
mayor	221
vernon	10
removing	138
term	6314
justice	796
peace	70
biennial	220
budgets	212
defining	87
terms	4525
language	412
budget	3186
bills	242
government	4403
public	17281
safety	2626
conservation	545
environment	334
economic	2112
development	5719
health	10600
social	1239
veterans	431
affairs	737
education	3488
including	8692
higher	528
through	6038
payment	8843
utility	3080
claims	2223
end	1508
year	13239
travel	596
related	2555
expenses	4876
setting	689
per	2162
diem	541
rates	1796
members	9643
boards	1344
commissions	1095
providing	2109
personal	4513
made	11074
approved	4994
frequency	78
deposit	2648
into	6832
treasury	404
received	4585
result	2251
casualty	186
losses	283
disposition	1200
excess	1240
computer	617
equipment	2797
use	9643
commodities	174
produced	377
institutions	1368
approval	4317
repairs	246
buildings	1167
interpretation	148
annual	3594
continuing	1089
reorganized	330
agencies	1832
purchase	3878
automobiles	23
advisory	1382
recommendations	911
committee	4170
governors	280
authority	10840
accept	1341
federal	6878
funds	6025
allotment	82
contracts	2535
authorizing	855
withholding	532
allotments	23
making	2383
employ	723
architects	158
duration	492
reappropriating	1
proceeds	2236
sale	6379
property	24169
increase	1221
expenditures	1010
counter-cyclical	29
revenue	4350
stabilization	89
fund	18263
balances	150
mental	1716
distributions	630
from	30036
finance	2990
school	12857
levies	440
tuition	536
cumulative	377
building	2723
levy	2146
transfers	669
